,total_voxels,left_1,right_1,left_2,right_2,left_3,right_3,left_4,right_4,left_5,right_5,left_6,right_6,left_7,right_7,left_8,right_8,left_9,right_9,left_10,right_10,left_11,right_11,left_12,right_12
s0163,96639,2353,2228,3479,3769,3447,3406,4440,4536,5007,5215,6417,6566,5922,6798,4611,5430,3891,4262,3070,4039,2853,2634,1269,997
s0752,151862,4203,3552,4672,5181,6107,5835,7049,7160,8498,8370,9043,9925,11023,9948,8686,8314,7452,6464,6058,5333,3527,3207,1026,1229
s0576,19752,2486,2729,2699,2741,2056,2108,1391,1605,782,1155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0029,155090,3726,4041,5099,4679,6869,6163,7462,7682,8841,9203,10280,10002,9145,9674,7607,8464,7199,7125,5254,5632,4052,4243,1217,1431
s0061,36350,3553,4175,2138,4059,3489,3726,3902,3139,4028,2411,1727,0,3,0,0,0,0,0,0,0,0,0,0,0
s0724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0329,48134,0,0,0,0,0,0,0,0,232,340,1717,1997,2689,3086,3285,3384,5138,5642,5357,5160,3671,3135,1621,1680
s1349,127894,5892,4060,4498,4731,4918,5121,5793,6427,6698,7907,7734,8244,7231,7845,6251,6966,5789,6116,4327,4743,2990,2969,122,522
s0228,36195,0,0,0,0,0,0,0,0,0,0,1256,805,2007,2233,2821,2489,4793,2665,4672,3797,2753,3673,487,1744
s0049,122342,2669,3004,3352,3376,4103,4546,5822,5678,6081,7537,7718,7643,8820,8696,6499,8086,4228,6520,3263,5557,2623,3670,817,2034
s0495,44574,0,0,0,0,0,0,0,0,746,771,2169,2811,4460,4496,4090,4526,4529,4148,3118,3031,2078,1862,722,1017
s0016,43594,0,0,0,0,0,0,0,0,0,32,424,145,2469,2241,3424,3214,3789,4387,5309,5504,4196,4235,2121,2104
s1068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0536,112159,3633,4090,2895,3235,3961,4314,4956,5659,5317,5980,5841,6222,7076,6701,6432,5861,5316,5114,4384,4469,3631,3567,1692,1813
s0410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0979,85303,0,0,0,0,0,0,0,0,2273,1769,3035,2834,4978,4880,7868,8839,9865,9363,10243,7246,5285,3686,1204,1935
s1403,67250,0,0,0,0,0,0,0,0,0,95,1717,2442,3924,4355,4427,5354,8131,8696,7585,7495,4578,5043,1651,1757
s0659,98218,2984,2828,2973,3337,3746,4053,4695,4984,5734,5899,6321,7235,7163,8671,5394,4696,4599,3888,2996,3098,1514,1187,219,4
s0333,30509,3719,3763,3539,3437,3195,2866,2142,2536,1444,2424,0,1444,0,0,0,0,0,0,0,0,0,0,0,0
s1075,24751,2692,2651,3532,3820,1954,2457,1614,2047,1150,1634,218,982,0,0,0,0,0,0,0,0,0,0,0,0
s0667,158679,5172,4612,5550,5460,7017,6583,8131,8257,9363,9633,9580,9228,8952,9758,8455,8515,7181,7075,5492,5437,3126,3412,1248,1442
s0571,69277,2100,1858,2478,2580,2667,2503,3185,3384,3671,3786,4200,4331,4721,4357,3582,3635,3334,3515,2469,2537,1687,1709,546,442
s1249,80473,3388,2946,2552,2608,2543,2875,3563,3655,3923,4663,4710,4274,4977,5038,3805,4915,4244,4491,3081,3040,1748,1906,869,659
s0396,4277,1345,1187,907,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0206,30630,0,0,0,0,0,0,0,0,700,1368,1829,2238,2020,2764,2052,2790,1890,2694,2663,2424,2139,1657,522,880
s0360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0663,101092,2459,2266,3565,3492,4412,3940,5051,4641,6007,5648,6530,6073,6444,6545,5074,5532,4937,4478,3723,3274,2316,2485,1239,961
s0607,70466,0,0,0,0,0,0,0,0,0,0,1472,1797,3957,4073,5767,7126,8819,9014,7633,7569,4588,5031,1791,1829
s0194,19997,0,0,0,0,0,0,0,0,0,0,87,278,789,1007,1149,1230,1474,2294,2548,2744,2090,2010,1176,1121
s1400,124209,3077,3708,4111,3964,4930,4438,5746,6145,7430,7617,8115,7710,8240,8369,6795,7255,5137,6068,4311,4362,2743,2476,777,685
s1372,108488,2710,3097,3905,4295,4163,4508,5105,5290,5820,6254,6615,7030,6902,6791,5568,5936,4858,5482,3967,3836,2716,2692,577,371
s0032,73797,2097,2504,2177,3079,3193,3534,3709,4076,4365,4465,4929,4791,4569,4541,3817,3889,3360,3427,1943,1908,1360,1081,462,521
s0606,171705,5110,4129,4481,5179,6524,6393,8083,9045,9710,10385,10121,11915,11541,11553,9350,9822,8603,8665,5648,5344,3721,3434,1808,1141
s1220,9178,985,1588,696,2711,252,1656,0,1037,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0490,97829,2590,2260,3398,3093,4577,4377,4992,5402,5849,6131,6578,6202,6410,6285,5270,5130,4641,4568,3435,3512,1637,1492,0,0
s1201,155989,4736,3966,5320,5081,5980,6512,7427,7089,7831,8613,9569,9820,10830,9823,8820,9602,7172,8451,5924,5613,3176,2846,1197,591
s0532,2407,0,0,0,0,516,2,1206,0,534,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0
s0994,148611,3651,3778,5448,4487,5433,5986,7213,7146,7621,7956,8117,8505,9267,9545,7811,8466,6805,6983,5637,6008,4392,4193,2072,2091
s1235,85939,2244,2159,3747,2978,3366,2945,4156,3959,4714,4285,5511,5093,5552,5644,4148,4875,2505,4284,3047,3569,2361,2469,1263,1065
s0334,164042,4472,4288,4698,5012,5979,6194,7535,8662,8459,9461,10208,9909,10928,10404,8861,9280,7059,7549,6253,6393,4193,4457,1766,2022
s0527,19776,2830,3095,1671,2305,1200,1651,956,1825,875,1862,688,818,0,0,0,0,0,0,0,0,0,0,0,0
s0890,75629,1537,1648,2175,2460,2750,2938,3203,3559,4004,4264,4674,5139,5246,5325,5382,4654,3427,3582,2365,2891,1223,1568,799,816
s0921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0822,125878,2812,3072,4799,4088,4570,4189,6085,5749,6895,7388,8471,8484,8022,8671,6826,7002,5930,6145,4672,4683,2485,2568,1230,1042
s1093,25310,2672,2273,2521,2513,2442,2437,2266,2078,1834,1889,1155,1150,29,51,0,0,0,0,0,0,0,0,0,0
s1344,65999,2156,2931,2394,2806,2672,2339,3119,2799,3338,3476,3212,3459,3883,4009,3221,3158,3023,3075,2779,2739,2011,1799,742,859
s1317,27288,0,0,0,0,0,0,0,0,1105,1508,2243,2414,3006,2396,3470,3028,2540,2906,943,1725,0,4,0,0
s1261,60529,2444,2522,3414,3522,3624,3838,4227,4449,4518,4720,3999,4508,3415,3514,2551,2661,1347,1256,0,0,0,0,0,0
s1257,29508,0,0,0,0,0,0,14,41,714,907,1278,1743,1807,2315,1861,2474,2694,3340,2554,2849,1547,1579,985,806
s0961,117017,2589,2968,3098,3048,3914,3939,5162,5229,7075,6909,9302,7457,7638,8009,5327,7297,4672,5638,3950,4273,3065,2936,1680,1842
s0865,15908,1954,1658,1219,2239,567,1404,588,1186,579,1177,659,1166,725,787,0,0,0,0,0,0,0,0,0,0
s1241,40146,0,0,0,0,0,0,0,0,0,0,1095,801,2644,2894,2597,2852,3936,5569,4666,4604,2839,3018,1346,1285
s0102,139231,3930,3215,4185,4327,5409,5561,6978,7150,7400,7414,8597,9463,8653,9285,7103,7607,6482,6784,5441,5408,3205,3347,1207,1080
s0400,38966,3333,3449,4784,4239,3934,4156,3838,3817,2235,3166,683,1332,0,0,0,0,0,0,0,0,0,0,0,0
s0846,251,0,0,0,0,0,0,16,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0339,33934,0,0,0,0,0,0,0,0,755,973,1689,1990,1907,2129,2405,3067,3683,3801,2982,3015,2179,2093,507,759
s0031,45396,0,0,0,0,0,0,0,0,0,0,1121,1405,2971,3407,3350,3855,4076,4660,5461,5371,3637,3416,1291,1375
s0884,151296,4674,3812,5257,5218,7095,6649,7568,7578,8266,8715,9059,9727,9117,9177,7825,8143,7251,6897,6287,5658,3109,3252,514,448
s0583,101289,2644,2435,3484,3259,3689,3860,5035,4683,5821,6084,5916,6311,6818,6447,4795,5237,4357,4877,3845,4062,2253,2929,1269,1179
s0327,104428,2371,2238,3525,4028,4541,4523,4974,5125,6013,6733,6294,6300,4465,5943,4551,5258,5893,4380,4534,3997,3435,2732,1604,971
s1039,77972,2613,3244,2579,2642,2940,2955,3652,3784,4065,4337,4667,4746,4427,4669,3891,4104,3629,3614,3005,3289,1739,1772,832,777
s1227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0477,84246,2712,2177,2752,2667,3496,3279,4001,3562,4518,4841,5329,5635,5812,5683,4554,4538,4085,3866,2801,2715,1772,1768,996,687
s1174,136142,4442,4252,3694,3735,5239,5009,6853,6661,7599,7717,8537,8729,8690,8653,6678,6879,6180,6195,5033,5218,3726,3315,1398,1710
s1347,47312,0,0,0,0,0,0,0,0,0,0,752,455,3220,2836,3836,3992,5207,5262,5246,5451,3371,4542,1337,1805
s1225,57631,2790,1952,2275,2293,2611,2480,3095,3293,3390,3619,3682,3846,3670,4137,2835,3370,2250,2663,1259,1515,312,294,0,0
s0549,157068,4565,4030,5498,5320,5514,5282,6902,7714,8228,9080,9136,9117,10260,10427,8036,8183,6841,7279,5801,6020,4102,4456,2691,2586
s0510,89910,2933,3193,3240,3271,3679,3558,4298,4546,4732,5360,6379,5910,6150,5779,5083,4707,4735,4477,2611,2220,1250,1326,345,128
s0821,132945,3064,2971,3663,3484,5440,4779,7207,6562,7593,8320,8799,8831,9068,8472,6697,7324,6139,6099,5138,5036,3182,3065,899,1113
s0958,37412,0,0,1420,1521,2422,585,5397,1844,5003,3002,5624,1224,5682,231,1924,24,1268,37,52,0,13,29,35,75
s0353,903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,161,0,150,59,157,87,92
s0227,17969,0,0,0,0,0,0,0,0,584,204,1080,1220,1354,1479,1107,1130,1325,1323,1497,1685,1622,1391,582,386
s0922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s1259,52084,2327,2215,2995,1182,4642,1908,6331,1665,7173,1688,8071,1395,5762,419,3228,78,1005,0,0,0,0,0,0,0
s0355,42563,0,0,0,0,0,0,0,0,610,104,2062,1616,3098,2802,3306,3047,3808,3478,4384,4136,3340,3651,1627,1494
s0564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s1268,76864,2989,3051,3517,3752,4370,4367,5320,5718,6281,6032,6034,6002,5261,4781,3449,3198,1393,1349,0,0,0,0,0,0
s1158,143381,4099,3997,5864,5839,6562,6654,7836,8652,9489,10338,9893,11089,9032,10392,6206,8630,6239,6205,2688,2895,314,468,0,0
s1021,22633,471,595,1194,278,2344,301,3488,780,3547,197,3387,0,2358,0,1024,0,744,0,767,56,869,233,0,0
s1044,161021,4903,4261,5703,5539,5751,5404,7139,7810,8476,9200,9394,9430,10572,10917,8165,8846,6944,6757,5960,5696,4171,4519,2745,2719
s0801,115204,4086,3940,3701,3488,4972,4462,5446,6036,6317,6601,7603,6214,6549,5599,5655,6237,6013,6547,3908,4688,2241,2317,1379,1205
s1224,148057,4033,3451,4889,5243,5260,5302,7148,6491,8072,8012,8665,8707,9208,9245,7917,8165,7359,7570,6644,5733,4146,4306,55,2436
s0124,123398,3623,3028,3444,3854,4483,4228,5360,5690,6611,7614,7227,7292,7789,8156,6669,6861,6415,6006,4704,5158,2930,3888,1185,1183
s0099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0224,138077,3918,3776,3923,3583,4084,4366,5775,5523,7878,7159,8711,8771,9503,9372,7364,7546,6384,6643,5195,5306,4785,4351,1982,2179
s1056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0238,30264,0,0,0,0,0,0,0,0,660,84,1926,1194,2146,2053,2183,2109,3351,3202,3404,3148,2090,2177,351,186
s1079,106180,2711,2966,3626,3462,4610,4675,5288,5739,5652,6109,6533,6782,7147,7158,6123,5556,4802,4673,3729,3509,2133,1997,678,522
s1316,10474,1020,1073,1536,1421,1188,999,1223,1077,937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s1240,93844,2271,2436,2816,2768,3227,3318,4172,4165,4956,4817,5582,5785,5955,6240,5118,5256,4750,4919,3609,3905,2668,2697,1195,1219
s1377,131832,1832,1944,1942,2068,3114,3218,5827,5574,6902,7791,8195,8100,9516,9352,8092,8518,6918,7312,6351,6474,4487,4144,2048,2113
s0398,130059,2748,2463,3347,4012,4763,4995,6063,6294,8180,8613,7927,8366,9408,10563,6124,7755,5114,6660,4740,5213,2370,2457,923,961
s1055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0681,131777,4091,4116,5125,4725,6284,6095,7321,7612,8593,8985,9338,8960,8623,8610,6248,7107,5249,5456,3633,3030,1329,1247,0,0
s1034,32035,1786,3643,2453,2643,2666,2799,2355,2883,1937,2577,1697,2335,540,1721,0,0,0,0,0,0,0,0,0,0
s1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0392,122079,2529,2665,4258,4428,4935,4977,6167,6124,6283,6919,5982,7207,7188,7834,7432,6657,6268,5732,4777,4577,3143,3140,1466,1391
s0157,32818,0,0,0,0,0,0,0,0,556,498,1179,1218,1815,2434,2125,3032,3541,3992,3071,3189,2312,2172,930,754
s0784,73138,2222,2692,2492,2351,2577,2761,2911,3441,3650,4490,4829,5360,4720,5070,3684,4224,3368,3603,2260,2685,1326,1325,586,511
s0746,41310,0,0,0,0,0,0,0,0,793,6,2185,1682,3502,3396,3450,4274,3624,3960,3833,4263,2189,1997,1101,1055
s0831,17438,0,0,0,0,0,0,0,0,0,0,0,0,910,115,1359,802,1624,1053,2388,1760,2389,2154,1341,1543
s0709,118692,4064,4353,4035,4214,4318,4946,5632,6084,6441,6487,6943,7268,7317,7177,5859,6150,5378,5318,4387,4723,2523,2718,1180,1177
s0806,83865,0,0,0,0,0,0,0,133,2106,2975,5416,6883,9196,9171,7801,7798,6528,7092,5299,5233,3795,3283,514,642
s0773,122006,3052,3495,4149,4013,5058,4886,5830,6175,6872,6977,6838,7232,7636,7792,8302,7890,6316,6414,4443,4217,2118,2044,163,94
s0578,66934,1635,1939,2217,2419,2516,2772,2934,2961,3505,3833,4110,4262,4266,4150,3462,3719,2924,3362,2557,2521,1514,1600,874,882
s0589,88148,1791,2078,2776,3199,3603,3437,4480,4337,4900,5589,6696,5943,5516,5691,4667,4796,3788,4007,2745,2703,1915,1797,752,942
s1190,126932,3307,3360,4388,4231,4969,4986,5867,6097,7018,7493,8016,8006,8077,8367,6924,6935,6219,6163,4855,4531,2541,2732,1173,677
s0311,45562,0,0,0,0,0,0,0,0,0,0,1206,1343,2904,2813,2964,3077,4658,3868,5754,5201,3566,3777,2244,2187
s0346,31048,2980,3284,3172,3692,2598,2850,2334,2635,2026,2583,905,1989,0,0,0,0,0,0,0,0,0,0,0,0
s1157,97200,2567,2851,3323,3267,3946,3899,4814,4754,4912,5354,5912,5952,6313,6478,5569,5528,5109,5403,3243,3120,2230,1709,616,331
s0830,124465,1940,3227,3421,3457,4232,4490,5897,6185,7162,7123,7200,7322,8039,8821,6897,7140,5840,6254,4954,5096,3335,3218,1631,1584
s0650,137378,4729,4641,4632,4273,5956,6524,7636,7883,8109,8246,8927,8372,8159,8006,7100,7073,6597,5932,4879,4250,2465,2564,317,108
s0425,135807,1986,2330,4362,4613,5123,5134,6973,6841,8217,8056,8908,8508,9356,8951,7224,7754,6939,7115,5579,5431,2790,2568,599,450
s0639,114215,3738,3028,3810,4074,4476,4573,5488,5750,6153,6326,6573,6594,7165,7563,5974,6820,5391,6063,4128,3809,2740,2474,599,906
s0874,28113,3651,4895,4508,4500,4393,2666,1750,1729,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s1207,73104,2452,2279,2885,2691,2964,2848,3975,3326,4031,3951,4598,4253,4236,4143,3592,3917,3206,3050,3103,2715,2062,1751,595,481
s0804,88207,3149,2399,2766,2747,3216,3260,3724,3995,4493,5026,4543,4832,5697,5401,5205,5192,4468,4883,3406,3488,2542,2321,847,607
s0111,125922,3489,3294,4335,4487,5970,5965,7146,7484,7711,7695,7413,9260,6596,7762,5248,7008,5773,6214,4297,4126,2390,1739,340,180
s1250,45676,0,0,0,0,0,0,753,1865,2473,3989,4982,5857,6515,6298,4512,4334,2329,1769,0,0,0,0,0,0
s0676,5837,0,0,0,0,0,0,0,0,0,0,0,0,0,41,55,389,397,746,680,959,817,955,399,399
s1001,17459,2839,2517,2553,2398,1604,1467,1119,1131,848,958,8,17,0,0,0,0,0,0,0,0,0,0,0,0
s0636,77135,2481,2864,2967,3132,3084,3036,3667,4282,4449,4747,4604,4904,4491,4730,3714,3927,3227,3204,2357,2586,1555,1710,558,859
s0963,71532,2426,2893,2534,3169,2782,3026,3104,3443,3905,3531,3787,3944,4390,4333,3234,3598,2983,3300,2617,2226,1941,2017,1148,1201
s0092,11627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,681,760,1148,1132,1609,1708,1572,1375,1306
s0212,60460,0,0,0,0,0,0,0,0,1511,1148,2579,2702,2593,3532,4402,3981,6639,6422,5881,5735,3863,4809,2503,2160
s1046,153837,3380,3597,4791,4820,5067,5219,7180,7036,7604,8628,9298,9895,9531,9902,8149,8716,7261,7937,5967,6655,4551,4719,2049,1885
s0190,11538,0,0,0,0,0,0,0,0,0,0,0,0,378,343,909,839,1196,1324,1718,1754,1372,1358,56,291
s0074,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
s0744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0595,15501,0,0,205,0,1331,0,2761,0,3277,0,3451,0,2429,0,978,0,677,0,300,0,3,0,86,3
s1115,19865,2757,3038,2202,3295,1176,2160,1308,1525,699,1704,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s1337,126349,4486,3723,4531,4708,4927,4698,5981,6094,6633,6914,7010,6392,7432,6670,6714,6310,6073,6391,5242,5139,3297,3340,1828,1816
s1067,69034,1615,2131,2458,2491,2675,2852,3289,3496,3401,3866,4414,4902,4484,4829,3446,3536,3255,3345,2684,2356,1435,1194,402,478
s0548,56247,0,0,0,0,0,0,0,0,27,0,2230,93,2779,2616,3659,5022,7414,8228,6802,7333,4225,4516,436,867
s0832,73386,0,0,0,0,0,0,1263,1248,2994,3168,5287,5667,7929,7679,6147,7394,5327,5629,4219,4787,2177,2153,263,55
s0154,4936,1567,331,521,313,480,318,363,310,366,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0901,8273,864,658,1601,383,949,291,1381,24,1425,2,651,0,44,0,0,0,0,0,0,0,0,0,0,0
s0219,19992,289,42,766,463,1460,1305,1358,1717,1258,1528,1624,1781,1773,2141,1167,921,362,37,0,0,0,0,0,0
s1397,157182,5002,4885,4791,5105,5293,6235,7497,7653,8084,8168,10707,10369,9911,10143,8762,8004,8579,7216,6562,6098,3862,3440,446,370
s1281,78614,2055,2211,3209,2880,3157,2940,3377,3663,3677,3781,4148,4410,4891,4929,4094,4300,3543,3590,3356,3509,2118,2348,1256,1172
s1375,13214,0,0,0,0,0,0,0,0,0,0,0,0,704,648,1079,1057,795,94,861,1478,1385,1927,1407,1779
s0968,24344,2,36,1438,437,1546,546,2114,1073,2874,2232,1981,2061,1282,2102,809,2168,475,1167,1,0,0,0,0,0
s0669,117872,4692,3705,4415,4209,3750,4547,4999,6460,5361,6406,6389,7241,7838,7600,6256,6428,5402,5804,4510,4688,2561,3033,784,794
s0247,15054,0,0,0,0,0,0,0,0,0,0,389,384,839,1074,1050,1223,1255,1709,1892,2034,1208,1220,398,379
s0105,6084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,526,388,1151,1252,836,1051,352,364
s0739,119845,2798,2674,3769,3975,5052,4882,6214,6645,6700,7298,7428,8400,7980,7925,6177,6568,5298,5533,4447,4142,2359,2658,472,451
s0110,35812,5007,3894,3938,3900,3157,3956,2672,3677,2229,2858,524,0,0,0,0,0,0,0,0,0,0,0,0,0
s1303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0738,10974,153,26,932,342,2519,82,3060,1,2155,4,1535,0,165,0,0,0,0,0,0,0,0,0,0,0
s0952,34610,1510,2324,1360,3316,856,1991,775,1672,852,1869,818,1963,1033,1784,878,1719,928,1895,1146,1769,907,1276,1126,843
s0491,53121,4001,3716,4841,4879,5124,5053,4378,5867,3572,4953,3342,3395,0,0,0,0,0,0,0,0,0,0,0,0
s0731,97845,4201,4910,2968,2955,4266,4102,4909,5451,5469,6022,5856,6243,5784,5751,5389,5066,4416,4198,2907,2690,1901,1629,647,115
s0815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0494,71552,2646,2797,2434,2489,2591,2485,3269,3119,3474,4118,4135,4298,4129,4792,3132,3379,3119,3552,2444,2862,2045,2202,986,1055
s0098,11833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529,579,1292,1412,1806,2202,2076,1937
s0362,162963,4982,3516,5311,4667,6518,6270,7804,7530,8264,10049,9355,10255,10321,10175,8473,9011,7624,7686,6286,5930,4716,5235,2860,125
s0188,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
s1167,81337,2063,1870,2508,2406,2737,2726,3463,3117,3976,4265,4154,4528,5231,5161,5004,5018,4359,4008,3361,3181,2772,2701,1406,1322
s1294,21328,0,0,0,0,0,0,0,0,31,177,1434,874,1550,1508,1525,1829,1677,1926,2787,2311,1347,1378,413,561
s0847,181034,5993,5644,6661,6276,8191,7308,10047,9418,9596,11417,11192,11142,9270,12011,9750,9091,9507,7589,8708,4714,3251,2471,1003,784
s1339,23414,0,0,0,0,0,0,0,0,0,0,386,340,1010,1243,1514,1518,3125,3071,3037,2753,1855,1750,855,957
s0646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0591,153894,3964,4551,4541,5234,5259,5444,7265,6976,8190,9011,9463,9794,9608,9267,8426,8030,7740,6895,6690,6253,4231,3688,1760,1614
s0048,41382,0,0,0,0,0,0,0,0,0,0,0,0,1891,1591,3122,3256,5853,6065,4986,5251,3155,3106,1661,1445
s0930,89551,1904,1874,2481,2578,3092,3150,4364,4699,4906,5396,4863,5698,5803,5995,5094,5266,4479,3910,3617,3466,2185,2413,1126,1192
s0286,33009,0,0,0,0,0,0,0,0,0,0,1397,1155,2286,2386,1847,2275,2465,2744,3575,4117,2928,2606,1625,1603
s0320,31547,0,0,0,0,0,0,0,0,0,0,6,0,1201,843,2464,2178,3115,2948,4425,4435,3560,3217,1741,1414
s0965,25102,0,0,0,0,0,0,212,363,538,819,1061,1366,1511,1872,1613,1784,2635,2817,2605,2509,1483,1285,292,337
s1077,81268,3406,2855,3032,2959,2942,3407,3916,3974,4397,4361,4733,4800,4654,4627,4123,4535,3649,3746,3124,2867,1860,1858,842,601
s1363,136699,3512,3552,3771,3719,4732,4803,5946,6971,6672,7617,7811,8225,8118,8466,7586,7748,6484,6281,5060,4612,5490,4722,2540,2261
s0338,60158,0,0,0,0,0,0,294,432,2135,2801,3947,4623,4117,5957,4935,7976,4137,6531,3079,4104,2282,1788,629,391
s0450,10011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,96,760,948,1358,1504,1775,1790,938,679
s0855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0112,19971,2401,2863,2471,2195,1847,1885,1670,1749,1288,1542,0,60,0,0,0,0,0,0,0,0,0,0,0,0
s0115,157315,4297,5113,3964,4144,4729,5369,6459,6896,7956,8577,9592,9399,9505,10835,8831,8968,8436,7571,6668,6779,4264,4756,1925,2282
s0557,101300,2239,3419,3371,3628,4199,3950,5072,4984,5994,6310,6987,7418,7129,7155,5238,6009,4758,5559,3069,3032,919,861,0,0
s0509,49385,0,0,0,0,0,0,153,639,1198,1733,2384,2589,3134,3893,3364,4375,4764,6067,4354,4165,2321,2323,1047,882
s0423,156406,4820,3848,4691,5255,6376,6389,8383,8326,8374,7983,10251,10128,9950,10804,8525,8028,6972,7016,5034,5313,3624,3760,1357,1199
s0685,30417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1516,1247,3166,3587,5680,5784,3489,3271,1510,1167
s1041,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,145,0,22
s0174,11828,0,0,0,0,0,0,0,0,0,0,139,237,780,744,717,882,825,670,969,1019,1421,1489,876,1060
s0762,55751,0,0,0,0,0,0,507,2,1866,1022,3339,1988,4359,3186,5822,5667,5479,5581,4450,4896,2588,2707,1236,1056
s1191,98482,2598,2897,3400,3197,4347,4438,4968,5505,5377,5843,6302,6472,6845,6897,5716,5222,4434,4434,3332,3044,1713,1493,8,0
s0406,70351,0,0,0,0,0,0,896,606,3091,3080,5016,3960,5617,5790,5422,6131,6257,6353,5034,5330,2933,2826,1022,987
s1146,57315,1500,2332,1872,1860,2170,2045,2446,2670,2585,3022,3235,3296,3450,3644,3233,3385,2942,3088,2489,2402,1090,1243,660,656
s1335,4094,655,811,783,892,359,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s1385,13,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,10,0,0,0,0,0,0,0,0
s1045,130829,4500,4142,4343,4832,4740,4794,5908,6314,7351,7474,7418,9463,6701,8468,5828,7476,4609,6591,4445,5208,4456,3119,2467,182
s0401,10998,0,0,0,0,0,0,0,0,0,0,177,0,641,497,787,666,949,823,1648,1390,1284,1321,395,420
s0245,46215,0,0,0,0,0,0,0,0,878,885,2432,2307,2842,3388,3591,4197,4185,5819,5047,4491,2565,2024,805,759
s1053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0866,176827,4295,4054,6271,5705,6815,7264,8422,8050,8918,9284,9827,9772,11056,10796,9632,10118,9411,8922,7453,7240,4061,4346,2504,2611
s0175,105608,3984,4457,4460,4985,6066,5694,6758,7062,7122,7332,7313,8354,6226,7164,4694,5057,3569,3290,1228,793,0,0,0,0
s0386,6643,277,446,295,391,159,259,114,203,163,281,213,255,259,362,256,319,289,349,315,256,241,283,341,317
s0653,32787,1151,984,1146,1014,1556,768,2395,1393,2865,1602,3189,1597,2872,1813,2072,1647,1589,1440,914,780,0,0,0,0
s1153,32879,0,0,0,0,0,0,0,0,588,20,1766,1294,2300,1915,2689,2409,3545,3070,3399,3447,2131,2134,994,1178
s0250,36434,0,0,0,0,0,0,0,0,3,0,0,0,2058,1492,2307,2256,4601,3769,5311,5061,3508,3234,1240,1594
s0785,76707,2557,2550,2793,2861,3224,3358,3766,4156,4254,4543,5157,4723,5055,4883,3485,3714,3602,4066,2412,2760,1263,1525,0,0
